Comunidades y Ciudades Autnomas,Provincias,Periodo,Total
09 Catalua,Barcelona,2023,4491
09 Catalua,Barcelona,2023,5683
09 Catalua,Barcelona,2023,5030
09 Catalua,Barcelona,2023,5565
09 Catalua,Barcelona,2022,4315
09 Catalua,Barcelona,2022,5638
09 Catalua,Barcelona,2022,5266
09 Catalua,Barcelona,2022,5913
09 Catalua,Barcelona,2022,5607
09 Catalua,Barcelona,2022,5796
09 Catalua,Barcelona,2022,5533
09 Catalua,Barcelona,2022,6370
09 Catalua,Barcelona,2022,5313
09 Catalua,Barcelona,2022,6223
09 Catalua,Barcelona,2022,5163
09 Catalua,Barcelona,2022,5160
09 Catalua,Barcelona,2021,4831
09 Catalua,Barcelona,2021,4674
09 Catalua,Barcelona,2021,4524
09 Catalua,Barcelona,2021,5466
09 Catalua,Barcelona,2021,4881
09 Catalua,Barcelona,2021,5232
09 Catalua,Barcelona,2021,4827
09 Catalua,Barcelona,2021,5097
09 Catalua,Barcelona,2021,4646
09 Catalua,Barcelona,2021,5599
09 Catalua,Barcelona,2021,4071
09 Catalua,Barcelona,2021,4146
09 Catalua,Barcelona,2020,3709
09 Catalua,Barcelona,2020,4125
09 Catalua,Barcelona,2020,3501
09 Catalua,Barcelona,2020,3477
09 Catalua,Barcelona,2020,2871
09 Catalua,Barcelona,2020,3482
09 Catalua,Barcelona,2020,3250
09 Catalua,Barcelona,2020,2993
09 Catalua,Barcelona,2020,3075
09 Catalua,Barcelona,2020,4118
09 Catalua,Barcelona,2020,4713
09 Catalua,Barcelona,2020,4764
09 Catalua,Barcelona,2019,3527
09 Catalua,Barcelona,2019,4080
09 Catalua,Barcelona,2019,4769
09 Catalua,Barcelona,2019,4266
09 Catalua,Barcelona,2019,4020
09 Catalua,Barcelona,2019,5351
09 Catalua,Barcelona,2019,4341
09 Catalua,Barcelona,2019,5203
09 Catalua,Barcelona,2019,4461
09 Catalua,Barcelona,2019,4715
09 Catalua,Barcelona,2019,5063
09 Catalua,Barcelona,2019,5473
09 Catalua,Barcelona,2018,3531
09 Catalua,Barcelona,2018,4622
09 Catalua,Barcelona,2018,4997
09 Catalua,Barcelona,2018,4493
09 Catalua,Barcelona,2018,4728
09 Catalua,Barcelona,2018,5094
09 Catalua,Barcelona,2018,4744
09 Catalua,Barcelona,2018,4772
09 Catalua,Barcelona,2018,4605
09 Catalua,Barcelona,2018,4717
09 Catalua,Barcelona,2018,4598
09 Catalua,Barcelona,2018,5111
09 Catalua,Barcelona,2017,3252
09 Catalua,Barcelona,2017,4554
09 Catalua,Barcelona,2017,3993
09 Catalua,Barcelona,2017,4370
09 Catalua,Barcelona,2017,4928
09 Catalua,Barcelona,2017,4838
09 Catalua,Barcelona,2017,4964
09 Catalua,Barcelona,2017,5469
09 Catalua,Barcelona,2017,3689
09 Catalua,Barcelona,2017,4903
09 Catalua,Barcelona,2017,4250
09 Catalua,Barcelona,2017,4621
09 Catalua,Barcelona,2016,3389
09 Catalua,Barcelona,2016,3768
09 Catalua,Barcelona,2016,3494
09 Catalua,Barcelona,2016,4260
09 Catalua,Barcelona,2016,4259
09 Catalua,Barcelona,2016,4200
09 Catalua,Barcelona,2016,4182
09 Catalua,Barcelona,2016,4122
09 Catalua,Barcelona,2016,3860
09 Catalua,Barcelona,2016,3699
09 Catalua,Barcelona,2016,3749
09 Catalua,Barcelona,2016,3547
09 Catalua,Barcelona,2015,2937
09 Catalua,Barcelona,2015,3186
09 Catalua,Barcelona,2015,2961
09 Catalua,Barcelona,2015,3206
09 Catalua,Barcelona,2015,3000
09 Catalua,Barcelona,2015,3609
09 Catalua,Barcelona,2015,3087
09 Catalua,Barcelona,2015,2905
09 Catalua,Barcelona,2015,3054
09 Catalua,Barcelona,2015,3054
09 Catalua,Barcelona,2015,3233
09 Catalua,Barcelona,2015,3547
09 Catalua,Barcelona,2014,2325
09 Catalua,Barcelona,2014,2574
09 Catalua,Barcelona,2014,2741
09 Catalua,Barcelona,2014,2496
09 Catalua,Barcelona,2014,2358
09 Catalua,Barcelona,2014,2965
09 Catalua,Barcelona,2014,2658
09 Catalua,Barcelona,2014,2801
09 Catalua,Barcelona,2014,2510
09 Catalua,Barcelona,2014,2618
09 Catalua,Barcelona,2014,2441
09 Catalua,Barcelona,2014,2875
09 Catalua,Barcelona,2013,1889
09 Catalua,Barcelona,2013,1996
09 Catalua,Barcelona,2013,2001
09 Catalua,Barcelona,2013,2468
09 Catalua,Barcelona,2013,2503
09 Catalua,Barcelona,2013,2659
09 Catalua,Barcelona,2013,2247
09 Catalua,Barcelona,2013,2435
09 Catalua,Barcelona,2013,2049
09 Catalua,Barcelona,2013,1790
09 Catalua,Barcelona,2013,2892
09 Catalua,Barcelona,2013,3582
09 Catalua,Barcelona,2012,1764
09 Catalua,Barcelona,2012,2003
09 Catalua,Barcelona,2012,1839
09 Catalua,Barcelona,2012,2155
09 Catalua,Barcelona,2012,2244
09 Catalua,Barcelona,2012,2483
09 Catalua,Barcelona,2012,2167
09 Catalua,Barcelona,2012,2348
09 Catalua,Barcelona,2012,1789
09 Catalua,Barcelona,2012,1981
09 Catalua,Barcelona,2012,2580
09 Catalua,Barcelona,2012,2889
09 Catalua,Barcelona,2011,1702
09 Catalua,Barcelona,2011,2092
09 Catalua,Barcelona,2011,1903
09 Catalua,Barcelona,2011,2182
09 Catalua,Barcelona,2011,2246
09 Catalua,Barcelona,2011,2300
09 Catalua,Barcelona,2011,2197
09 Catalua,Barcelona,2011,2694
09 Catalua,Barcelona,2011,2006
09 Catalua,Barcelona,2011,2548
09 Catalua,Barcelona,2011,4571
09 Catalua,Barcelona,2011,4082
09 Catalua,Barcelona,2010,2493
09 Catalua,Barcelona,2010,2562
09 Catalua,Barcelona,2010,2345
09 Catalua,Barcelona,2010,3071
09 Catalua,Barcelona,2010,3693
09 Catalua,Barcelona,2010,3848
09 Catalua,Barcelona,2010,3082
09 Catalua,Barcelona,2010,3224
09 Catalua,Barcelona,2010,2784
09 Catalua,Barcelona,2010,3045
09 Catalua,Barcelona,2010,3610
09 Catalua,Barcelona,2010,3245
09 Catalua,Barcelona,2009,2354
09 Catalua,Barcelona,2009,2251
09 Catalua,Barcelona,2009,2539
09 Catalua,Barcelona,2009,2998
09 Catalua,Barcelona,2009,2457
09 Catalua,Barcelona,2009,2749
09 Catalua,Barcelona,2009,2415
09 Catalua,Barcelona,2009,2238
09 Catalua,Barcelona,2009,1817
09 Catalua,Barcelona,2009,2175
09 Catalua,Barcelona,2009,2024
09 Catalua,Barcelona,2009,2522
09 Catalua,Barcelona,2008,2042
09 Catalua,Barcelona,2008,2424
09 Catalua,Barcelona,2008,2529
09 Catalua,Barcelona,2008,2922
09 Catalua,Barcelona,2008,2481
09 Catalua,Barcelona,2008,3198
09 Catalua,Barcelona,2008,2972
09 Catalua,Barcelona,2008,3386
09 Catalua,Barcelona,2008,3637
09 Catalua,Barcelona,2008,3213
09 Catalua,Barcelona,2008,4168
09 Catalua,Barcelona,2008,4908
09 Catalua,Barcelona,2007,3347
09 Catalua,Barcelona,2007,3819
09 Catalua,Barcelona,2007,4030
09 Catalua,Barcelona,2007,4872
09 Catalua,Barcelona,2007,4848
09 Catalua,Barcelona,2007,5702
09 Catalua,Barcelona,2007,5873
09 Catalua,Barcelona,2007,7056
09 Catalua,Barcelona,2007,5299
09 Catalua,Barcelona,2007,6654
09 Catalua,Barcelona,2007,7202
09 Catalua,Barcelona,2007,8728
09 Catalua,Barcelona,2023,788
09 Catalua,Barcelona,2023,1084
09 Catalua,Barcelona,2023,864
09 Catalua,Barcelona,2023,954
09 Catalua,Barcelona,2022,678
09 Catalua,Barcelona,2022,867
09 Catalua,Barcelona,2022,826
09 Catalua,Barcelona,2022,913
09 Catalua,Barcelona,2022,902
09 Catalua,Barcelona,2022,1001
09 Catalua,Barcelona,2022,913
09 Catalua,Barcelona,2022,1107
09 Catalua,Barcelona,2022,938
09 Catalua,Barcelona,2022,1045
09 Catalua,Barcelona,2022,947
09 Catalua,Barcelona,2022,1018
09 Catalua,Barcelona,2021,878
09 Catalua,Barcelona,2021,885
09 Catalua,Barcelona,2021,803
09 Catalua,Barcelona,2021,999
09 Catalua,Barcelona,2021,736
09 Catalua,Barcelona,2021,799
09 Catalua,Barcelona,2021,735
09 Catalua,Barcelona,2021,914
09 Catalua,Barcelona,2021,795
09 Catalua,Barcelona,2021,1039
09 Catalua,Barcelona,2021,832
09 Catalua,Barcelona,2021,688
09 Catalua,Barcelona,2020,682
09 Catalua,Barcelona,2020,724
09 Catalua,Barcelona,2020,606
09 Catalua,Barcelona,2020,730
09 Catalua,Barcelona,2020,549
09 Catalua,Barcelona,2020,661
09 Catalua,Barcelona,2020,625
09 Catalua,Barcelona,2020,486
09 Catalua,Barcelona,2020,562
09 Catalua,Barcelona,2020,766
09 Catalua,Barcelona,2020,893
