Total Nacional,Comunidades y Ciudades Autnomas,Provincias,Rgimen y estado,Periodo,Total
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2023M04,4.491
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2023M03,5.683
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2023M02,5.030
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2023M01,5.565
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2022M12,4.315
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2022M11,5.638
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2022M10,5.266
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2022M09,5.913
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2022M08,5.607
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2022M07,5.796
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2022M06,5.533
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2022M05,6.370
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2022M04,5.313
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2022M03,6.223
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2022M02,5.163
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2022M01,5.160
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2021M12,4.831
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2021M11,4.674
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2021M10,4.524
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2021M09,5.466
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2021M08,4.881
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2021M07,5.232
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2021M06,4.827
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2021M05,5.097
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2021M04,4.646
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2021M03,5.599
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2021M02,4.071
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2021M01,4.146
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2020M12,3.709
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2020M11,4.125
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2020M10,3.501
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2020M09,3.477
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2020M08,2.871
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2020M07,3.482
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2020M06,3.250
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2020M05,2.993
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2020M04,3.075
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2020M03,4.118
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2020M02,4.713
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2020M01,4.764
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2019M12,3.527
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2019M11,4.080
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2019M10,4.769
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2019M09,4.266
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2019M08,4.020
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2019M07,5.351
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2019M06,4.341
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2019M05,5.203
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2019M04,4.461
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2019M03,4.715
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2019M02,5.063
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2019M01,5.473
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2018M12,3.531
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2018M11,4.622
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2018M10,4.997
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2018M09,4.493
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2018M08,4.728
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2018M07,5.094
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2018M06,4.744
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2018M05,4.772
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2018M04,4.605
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2018M03,4.717
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2018M02,4.598
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2018M01,5.111
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2017M12,3.252
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2017M11,4.554
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2017M10,3.993
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2017M09,4.370
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2017M08,4.928
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2017M07,4.838
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2017M06,4.964
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2017M05,5.469
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2017M04,3.689
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2017M03,4.903
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2017M02,4.250
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2017M01,4.621
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2016M12,3.389
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2016M11,3.768
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2016M10,3.494
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2016M09,4.260
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2016M08,4.259
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2016M07,4.200
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2016M06,4.182
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2016M05,4.122
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2016M04,3.860
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2016M03,3.699
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2016M02,3.749
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2016M01,3.547
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2015M12,2.937
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2015M11,3.186
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2015M10,2.961
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2015M09,3.206
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2015M08,3.000
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2015M07,3.609
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2015M06,3.087
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2015M05,2.905
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2015M04,3.054
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2015M03,3.054
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2015M02,3.233
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2015M01,3.547
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2014M12,2.325
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2014M11,2.574
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2014M10,2.741
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2014M09,2.496
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2014M08,2.358
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2014M07,2.965
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2014M06,2.658
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2014M05,2.801
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2014M04,2.510
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2014M03,2.618
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2014M02,2.441
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2014M01,2.875
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2013M12,1.889
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2013M11,1.996
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2013M10,2.001
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2013M09,2.468
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2013M08,2.503
Total Nacional,09 Catalua,08 Barcelona,Viviendas: Total,2013M07,2.659
