CODI_10,NOM_ENS,ANY,TOTAL,HOMES,DONES
1712360009,Ajuntament de Palol de Revardit,2017,476,237,239
0827980001,Ajuntament de Terrassa,1996,163862,,
4302130008,Ajuntament de Barberà de la Conca,2019,473,,
4309180001,Ajuntament de Mont-ral,2006,179,,
1707920002,Ajuntament de Girona,1991,68656,,
2520380001,Ajuntament de la Seu d'Urgell,2019,12089,,
1709790004,Ajuntament de Madremanya,2014,283,140,143
1719970005,Ajuntament de Torroella de Montgrí,2002,9004,0,0
2505600000,Ajuntament de Bovera,1990,468,,
2513330008,Ajuntament de Maials,2007,966,492,474
0828020002,Ajuntament de Tavertet,1991,132,,
0828770005,Ajuntament de Torrelavit,2015,1401,,
2519020002,Ajuntament de Salàs de Pallars,1996,358,,
4317260009,Ajuntament de Vilaverd,2000,354,,
0804100000,Ajuntament de Canovelles,2020,16829,,
2523980001,Ajuntament de les Valls de Valira,1999,751,,
2524240003,Ajuntament de Verdú,2000,1041,,
2509840003,Ajuntament de Gavet de la Conca,1994,359,,
0809610007,Ajuntament de Granollers,2001,53681,,
1709630008,Ajuntament de les Llosses,2009,234,,
1713900000,Ajuntament de les Preses,2001,1419,,
0825670005,Ajuntament de Santa Maria de Martorelles,2006,788,,
1707410007,Ajuntament de Fortià,2009,639,,
1722350006,Ajuntament de Vilajuïga,2000,953,,
1720180001,Ajuntament de Toses,1998,141,,
7004910007,Entitat Municipal Descentralitzada de Vilamitjana,2015,186,96,90
0817050006,Ajuntament dels Prats de Rei,2021,551,296,255
1716550006,Ajuntament de Sant Jaume de Llierca,2004,778,,
2509970005,Ajuntament de Golmés,2004,1443,,
1721090004,Ajuntament de Ventalló,2017,793,397,396
0821910007,Ajuntament de Vilassar de Mar,2017,20636,9932,10704
1700100000,Ajuntament d'Agullana,2016,841,,
1708130008,Ajuntament de Gualta,2020,402,,
2509460009,Ajuntament de Foradada,2020,203,,
2513510007,Ajuntament de Miralcamp,1996,1254,,
0890580001,Ajuntament de la Palma de Cervelló,2016,3000,,
0814300000,Ajuntament d'Òdena,1991,2534,,
0818840003,Ajuntament de Sagàs,2004,140,,
0810170005,Ajuntament de l'Hospitalet de Llobregat,2016,254804,,
4390570005,Ajuntament de Salou,2020,28526,,
0817480001,Ajuntament de Puigdàlber,2013,533,266,267
7007560009,Entitat Municipal Descentralitzada de Baldomar,2019,84,48,36
2501690004,Ajuntament d'Alguaire,2018,2937,1552,1385
2502920002,Ajuntament d'Arbeca,2015,2278,,
0810000000,Ajuntament de Gurb,2012,2580,,
2522060009,Ajuntament de Térmens,2000,1404,,
1710190004,Ajuntament de Massanes,2008,709,375,334
8100810007,Consell Comarcal del Baix Camp,2003,156312,0,0
1717070005,Ajuntament de Vallfogona de Ripollès,2010,234,,
4312270005,Ajuntament de Renau,2017,153,78,75
0817990004,Ajuntament de Rellinars,2002,412,0,0
0821720002,Ajuntament de Sant Joan Despí,2005,31162,15401,15761
1715950006,Ajuntament de Sant Feliu de Buixalleu,1998,695,,
4316900000,Ajuntament de Vilaplana,2009,614,,
0825920002,Ajuntament de Santa Maria de Palautordera,1996,5456,,
2508860009,Ajuntament d'Estamariu,2011,123,70,53
2514310007,Ajuntament de Montornès de Segarra,1991,123,,
2510440003,Ajuntament de Granyena de Segarra,2005,138,73,65
0800760009,Ajuntament d'Arenys de Munt,2016,8638,,
1716160009,Ajuntament de Sant Feliu de Pallerols,1999,1140,,
1717720002,Ajuntament de Sant Pau de Segúries,2021,725,359,366
0825670005,Ajuntament de Santa Maria de Martorelles,2005,763,392,371
2517650006,Ajuntament de Preixana,2018,385,198,187
0827040003,Ajuntament de Sitges,2021,30217,15109,15108
4316280001,Ajuntament de Vandellòs i l'Hospitalet de l'Infant,1995,4457,,
1708490004,Ajuntament d'Isòvol,2021,314,173,141
0818840003,Ajuntament de Sagàs,1993,182,,
4302490004,Ajuntament de Bellvei,2007,1840,978,862
1711750006,Ajuntament de Palafrugell,1998,17564,,
1713650006,Ajuntament de Pontós,2006,217,,
7000480001,Entitat Municipal Descentralitzada d'Arcavell i la Farga de Moles,2019,47,23,24
4312640003,Ajuntament de la Riera de Gaià,2007,1453,742,711
4304300000,Ajuntament del Catllar,2002,2691,0,0
0817120002,Ajuntament de Prats de Lluçanès,2004,2700,,
