,CODI_10,NOM_ENS,ANY,TOTAL
0,1712360009,Ajuntament de Palol de Revardit,2017,476
1,827980001,Ajuntament de Terrassa,1996,163862
2,4302130008,Ajuntament de Barberà de la Conca,2019,473
3,4309180001,Ajuntament de Mont-ral,2006,179
4,1707920002,Ajuntament de Girona,1991,68656
5,2520380001,Ajuntament de la Seu d'Urgell,2019,12089
6,1709790004,Ajuntament de Madremanya,2014,283
7,1719970005,Ajuntament de Torroella de Montgrí,2002,9004
8,2505600000,Ajuntament de Bovera,1990,468
9,2513330008,Ajuntament de Maials,2007,966
10,828020002,Ajuntament de Tavertet,1991,132
11,828770005,Ajuntament de Torrelavit,2015,1401
12,2519020002,Ajuntament de Salàs de Pallars,1996,358
13,4317260009,Ajuntament de Vilaverd,2000,354
14,804100000,Ajuntament de Canovelles,2020,16829
15,2523980001,Ajuntament de les Valls de Valira,1999,751
16,2524240003,Ajuntament de Verdú,2000,1041
17,2509840003,Ajuntament de Gavet de la Conca,1994,359
18,809610007,Ajuntament de Granollers,2001,53681
19,1709630008,Ajuntament de les Llosses,2009,234
20,1713900000,Ajuntament de les Preses,2001,1419
21,825670005,Ajuntament de Santa Maria de Martorelles,2006,788
22,1707410007,Ajuntament de Fortià,2009,639
23,1722350006,Ajuntament de Vilajuïga,2000,953
24,1720180001,Ajuntament de Toses,1998,141
25,7004910007,Entitat Municipal Descentralitzada de Vilamitjana,2015,186
26,817050006,Ajuntament dels Prats de Rei,2021,551
27,1716550006,Ajuntament de Sant Jaume de Llierca,2004,778
28,2509970005,Ajuntament de Golmés,2004,1443
29,1721090004,Ajuntament de Ventalló,2017,793
30,821910007,Ajuntament de Vilassar de Mar,2017,20636
31,1700100000,Ajuntament d'Agullana,2016,841
32,1708130008,Ajuntament de Gualta,2020,402
33,2509460009,Ajuntament de Foradada,2020,203
34,2513510007,Ajuntament de Miralcamp,1996,1254
35,890580001,Ajuntament de la Palma de Cervelló,2016,3000
36,814300000,Ajuntament d'Òdena,1991,2534
37,818840003,Ajuntament de Sagàs,2004,140
38,810170005,Ajuntament de l'Hospitalet de Llobregat,2016,254804
39,4390570005,Ajuntament de Salou,2020,28526
40,817480001,Ajuntament de Puigdàlber,2013,533
41,7007560009,Entitat Municipal Descentralitzada de Baldomar,2019,84
42,2501690004,Ajuntament d'Alguaire,2018,2937
43,2502920002,Ajuntament d'Arbeca,2015,2278
44,810000000,Ajuntament de Gurb,2012,2580
45,2522060009,Ajuntament de Térmens,2000,1404
46,1710190004,Ajuntament de Massanes,2008,709
47,8100810007,Consell Comarcal del Baix Camp,2003,156312
48,1717070005,Ajuntament de Vallfogona de Ripollès,2010,234
49,4312270005,Ajuntament de Renau,2017,153
50,817990004,Ajuntament de Rellinars,2002,412
