DATA INCENDI,CODI COMARCA,COMARCA,CODI MUNICIPI,TERMEMUNIC,HAARBRADES,HANOARBRAD,HANOFOREST,HAFORESTAL
11/01/2011,8,Baix Camp,431299,Riudoms,0.00,0.20,0.00,0.20
13/01/2011,37,Terra Alta,430483,Corbera d'Ebre,0.20,0.00,0.00,0.20
14/01/2011,2,Alt Empordà,170545,Colera,0.01,0.00,0.00,0.01
16/01/2011,24,Osona,82802,Tavertet,0.00,0.02,0.00,0.02
16/01/2011,19,Garrotxa,171498,Riudaura,0.00,0.43,0.00,0.43
16/01/2011,6,Anoia,81022,Igualada,0.00,0.02,0.00,0.02
16/01/2011,22,Montsià,430629,Freginals,0.00,0.00,0.00,0.00
18/01/2011,2,Alt Empordà,170622,"Escala, l'",0.00,0.80,0.00,0.80
18/01/2011,9,Baix Ebre,431554,Tortosa,0.00,0.00,0.00,0.00
20/01/2011,4,Alt Urgell,251850,Ribera d'Urgellet,0.00,0.90,0.00,0.90
21/01/2011,40,Vallès Occidental,82055,Sant Cugat del Vallès,0.00,0.01,0.00,0.01
22/01/2011,2,Alt Empordà,171788,Sant Pere Pescador,0.00,0.00,0.00,0.00
22/01/2011,12,Baix Penedès,430901,"Montmell, el",1.18,0.00,0.00,1.18
22/01/2011,8,Baix Camp,430115,Almoster,0.00,3.08,0.00,3.08
23/01/2011,2,Alt Empordà,170470,Castelló d'Empúries,0.00,0.20,0.00,0.20
23/01/2011,24,Osona,81290,Muntanyola,0.00,0.04,0.00,0.04
24/01/2011,2,Alt Empordà,170307,Cabanes,0.40,0.10,0.00,0.50
24/01/2011,20,Gironès,171637,Sant Gregori,0.44,0.00,0.00,0.44
24/01/2011,41,Vallès Oriental,80885,"Garriga, la",0.00,0.18,0.00,0.18
24/01/2011,30,Ribera d'Ebre,431212,Rasquera,0.28,0.00,0.00,0.28
25/01/2011,19,Garrotxa,171498,Riudaura,0.00,0.07,0.00,0.07
25/01/2011,1,Alt Camp,430982,Nulles,0.50,0.15,0.00,0.65
26/01/2011,2,Alt Empordà,171582,Sant Climent Sescebes,0.00,0.02,0.00,0.02
26/01/2011,34,Selva,171501,Riudellots de la Selva,0.01,0.00,0.00,0.01
26/01/2011,41,Vallès Oriental,89024,Vilanova del Vallès,0.02,0.00,0.00,0.02
26/01/2011,39,Aran,252430,Vielha e Mijaran,0.70,9.80,0.00,10.50
26/01/2011,33,Segrià,251023,"Granja d'Escarp, la",0.00,0.06,0.00,0.06
27/01/2011,26,Pallars Sobirà,252094,Sort,0.00,0.03,0.00,0.03
27/01/2011,38,Urgell,259025,Sant Martí de Riucorb,0.00,1.00,1.50,1.00
03/02/2011,2,Alt Empordà,170669,Figueres,0.00,0.01,0.00,0.01
03/02/2011,41,Vallès Oriental,81810,"Roca del Vallès, la",0.08,0.00,0.00,0.08
03/02/2011,11,Baix Llobregat,80765,Esparreguera,0.00,0.05,0.00,0.05
03/02/2011,38,Urgell,252173,Tàrrega,0.00,0.90,0.00,0.90
03/02/2011,9,Baix Ebre,430136,"Ametlla de Mar, l'",0.00,0.15,0.00,0.15
04/02/2011,4,Alt Urgell,259062,"Valls d'Aguilar, les",0.00,0.32,0.00,0.32
04/02/2011,25,Pallars Jussà,252347,Tremp,0.00,3.86,4.43,3.86
05/02/2011,6,Anoia,81764,Pujalt,0.30,0.00,0.00,0.30
06/02/2011,21,Maresme,81555,Palafolls,0.00,0.00,0.00,0.00
06/02/2011,26,Pallars Sobirà,252094,Sort,0.15,0.15,0.00,0.30
07/02/2011,12,Baix Penedès,430167,"Arboç, l'",0.05,0.00,0.00,0.05
08/02/2011,38,Urgell,252424,Verdú,0.00,0.23,0.00,0.23
09/02/2011,10,Baix Empordà,172095,Vall-llobrega,0.14,0.00,0.00,0.14
09/02/2011,4,Alt Urgell,250306,"Pont de Bar, el",0.00,0.50,0.00,0.50
09/02/2011,26,Pallars Sobirà,251266,Llavorsí,0.00,2.00,0.00,2.00
10/02/2011,24,Osona,81516,Oristà,0.40,0.00,0.00,0.40
10/02/2011,40,Vallès Occidental,81846,Rubí,0.00,0.27,0.00,0.27
10/02/2011,11,Baix Llobregat,81141,Martorell,0.00,0.02,0.90,0.02
10/02/2011,6,Anoia,81614,Piera,0.05,0.00,0.00,0.05
10/02/2011,7,Bages,80023,Aguilar de Segarra,0.00,0.13,0.00,0.13
11/02/2011,2,Alt Empordà,172109,Ventalló,0.00,0.06,0.00,0.06
11/02/2011,20,Gironès,171557,Salt,0.09,0.26,0.05,0.35
11/02/2011,31,Ripollès,171674,Sant Joan de les Abadesses,0.53,0.00,0.00,0.53
11/02/2011,6,Anoia,80608,Castellfollit de Riubregós,0.00,0.18,0.00,0.18
11/02/2011,26,Pallars Sobirà,250241,Alt Àneu,6.50,86.10,0.90,92.60
11/02/2011,33,Segrià,252542,Vilanova de la Barca,0.00,0.90,0.20,0.90
13/02/2011,21,Maresme,81108,Malgrat de Mar,0.00,0.00,0.00,0.00
