Comunidades y Ciudades Autñnomas,Provincias,Periodo,Total
09 Cataluña,08 Barcelona,2023M02,5030
09 Cataluña,08 Barcelona,2023M01,5565
09 Cataluña,08 Barcelona,2022M12,4315
09 Cataluña,08 Barcelona,2022M11,5638
09 Cataluña,08 Barcelona,2022M10,5266
09 Cataluña,08 Barcelona,2022M09,5913
09 Cataluña,08 Barcelona,2022M08,5607
09 Cataluña,08 Barcelona,2022M07,5796
09 Cataluña,08 Barcelona,2022M06,5533
09 Cataluña,08 Barcelona,2022M05,6370
09 Cataluña,08 Barcelona,2022M04,5336
09 Cataluña,08 Barcelona,2022M03,6160
09 Cataluña,08 Barcelona,2022M02,5163
09 Cataluña,08 Barcelona,2022M01,5160
09 Cataluña,08 Barcelona,2021M12,4831
09 Cataluña,08 Barcelona,2021M11,4674
09 Cataluña,08 Barcelona,2021M10,4524
09 Cataluña,08 Barcelona,2021M09,5466
09 Cataluña,08 Barcelona,2021M08,4881
09 Cataluña,08 Barcelona,2021M07,5232
09 Cataluña,08 Barcelona,2021M06,4827
09 Cataluña,08 Barcelona,2021M05,5097
09 Cataluña,08 Barcelona,2021M04,4646
09 Cataluña,08 Barcelona,2021M03,5599
09 Cataluña,08 Barcelona,2021M02,4071
09 Cataluña,08 Barcelona,2021M01,4146
09 Cataluña,08 Barcelona,2020M12,3709
09 Cataluña,08 Barcelona,2020M11,4125
09 Cataluña,08 Barcelona,2020M10,3501
09 Cataluña,08 Barcelona,2020M09,3477
09 Cataluña,08 Barcelona,2020M08,2871
09 Cataluña,08 Barcelona,2020M07,3482
09 Cataluña,08 Barcelona,2020M06,3250
09 Cataluña,08 Barcelona,2020M05,2993
09 Cataluña,08 Barcelona,2020M04,3075
09 Cataluña,08 Barcelona,2020M03,4118
09 Cataluña,08 Barcelona,2020M02,4713
09 Cataluña,08 Barcelona,2020M01,4764
09 Cataluña,08 Barcelona,2019M12,3527
09 Cataluña,08 Barcelona,2019M11,4080
09 Cataluña,08 Barcelona,2019M10,4769
09 Cataluña,08 Barcelona,2019M09,4266
09 Cataluña,08 Barcelona,2019M08,4020
09 Cataluña,08 Barcelona,2019M07,5351
09 Cataluña,08 Barcelona,2019M06,4341
09 Cataluña,08 Barcelona,2019M05,5203
09 Cataluña,08 Barcelona,2019M04,4461
09 Cataluña,08 Barcelona,2019M03,4715
09 Cataluña,08 Barcelona,2019M02,5063
09 Cataluña,08 Barcelona,2019M01,5473
09 Cataluña,08 Barcelona,2018M12,3531
09 Cataluña,08 Barcelona,2018M11,4622
09 Cataluña,08 Barcelona,2018M10,4997
09 Cataluña,08 Barcelona,2018M09,4493
09 Cataluña,08 Barcelona,2018M08,4728
09 Cataluña,08 Barcelona,2018M07,5094
09 Cataluña,08 Barcelona,2018M06,4744
09 Cataluña,08 Barcelona,2018M05,4772
09 Cataluña,08 Barcelona,2018M04,4605
09 Cataluña,08 Barcelona,2018M03,4717
09 Cataluña,08 Barcelona,2018M02,4598
09 Cataluña,08 Barcelona,2018M01,5111
09 Cataluña,08 Barcelona,2017M12,3252
09 Cataluña,08 Barcelona,2017M11,4554
09 Cataluña,08 Barcelona,2017M10,3993
09 Cataluña,08 Barcelona,2017M09,4370
09 Cataluña,08 Barcelona,2017M08,4928
09 Cataluña,08 Barcelona,2017M07,4838
09 Cataluña,08 Barcelona,2017M06,4964
09 Cataluña,08 Barcelona,2017M05,5469
09 Cataluña,08 Barcelona,2017M04,3689
09 Cataluña,08 Barcelona,2017M03,4903
09 Cataluña,08 Barcelona,2017M02,4250
09 Cataluña,08 Barcelona,2017M01,4621
09 Cataluña,08 Barcelona,2016M12,3389
09 Cataluña,08 Barcelona,2016M11,3768
09 Cataluña,08 Barcelona,2016M10,3494
09 Cataluña,08 Barcelona,2016M09,4260
09 Cataluña,08 Barcelona,2016M08,4259
09 Cataluña,08 Barcelona,2016M07,4200
09 Cataluña,08 Barcelona,2016M06,4182
09 Cataluña,08 Barcelona,2016M05,4122
09 Cataluña,08 Barcelona,2016M04,3860
09 Cataluña,08 Barcelona,2016M03,3699
09 Cataluña,08 Barcelona,2016M02,3749
09 Cataluña,08 Barcelona,2016M01,3547
09 Cataluña,08 Barcelona,2015M12,2937
09 Cataluña,08 Barcelona,2015M11,3186
09 Cataluña,08 Barcelona,2015M10,2961
09 Cataluña,08 Barcelona,2015M09,3206
09 Cataluña,08 Barcelona,2015M08,3000
09 Cataluña,08 Barcelona,2015M07,3609
09 Cataluña,08 Barcelona,2015M06,3087
09 Cataluña,08 Barcelona,2015M05,2905
09 Cataluña,08 Barcelona,2015M04,3054
09 Cataluña,08 Barcelona,2015M03,3054
09 Cataluña,08 Barcelona,2015M02,3233
09 Cataluña,08 Barcelona,2015M01,3547
09 Cataluña,08 Barcelona,2014M12,2325
09 Cataluña,08 Barcelona,2014M11,2574
09 Cataluña,08 Barcelona,2014M10,2741
09 Cataluña,08 Barcelona,2014M09,2496
09 Cataluña,08 Barcelona,2014M08,2358
09 Cataluña,08 Barcelona,2014M07,2965
09 Cataluña,08 Barcelona,2014M06,2658
09 Cataluña,08 Barcelona,2014M05,2801
09 Cataluña,08 Barcelona,2014M04,2510
09 Cataluña,08 Barcelona,2014M03,2618
09 Cataluña,08 Barcelona,2014M02,2441
09 Cataluña,08 Barcelona,2014M01,2875
09 Cataluña,08 Barcelona,2013M12,1889
09 Cataluña,08 Barcelona,2013M11,1996
09 Cataluña,08 Barcelona,2013M10,2001
09 Cataluña,08 Barcelona,2013M09,2468
09 Cataluña,08 Barcelona,2013M08,2503
09 Cataluña,08 Barcelona,2013M07,2659
09 Cataluña,08 Barcelona,2013M06,2247
09 Cataluña,08 Barcelona,2013M05,2435
09 Cataluña,08 Barcelona,2013M04,2049
09 Cataluña,08 Barcelona,2013M03,1790
09 Cataluña,08 Barcelona,2013M02,2892
09 Cataluña,08 Barcelona,2013M01,3582
09 Cataluña,08 Barcelona,2012M12,1764
09 Cataluña,08 Barcelona,2012M11,2003
09 Cataluña,08 Barcelona,2012M10,1839
09 Cataluña,08 Barcelona,2012M09,2155
09 Cataluña,08 Barcelona,2012M08,2244
09 Cataluña,08 Barcelona,2012M07,2483
09 Cataluña,08 Barcelona,2012M06,2167
09 Cataluña,08 Barcelona,2012M05,2348
09 Cataluña,08 Barcelona,2012M04,1789
09 Cataluña,08 Barcelona,2012M03,1981
09 Cataluña,08 Barcelona,2012M02,2580
09 Cataluña,08 Barcelona,2012M01,2889
09 Cataluña,08 Barcelona,2011M12,1702
09 Cataluña,08 Barcelona,2011M11,2092
09 Cataluña,08 Barcelona,2011M10,1903
09 Cataluña,08 Barcelona,2011M09,2182
09 Cataluña,08 Barcelona,2011M08,2246
09 Cataluña,08 Barcelona,2011M07,2300
09 Cataluña,08 Barcelona,2011M06,2197
09 Cataluña,08 Barcelona,2011M05,2694
09 Cataluña,08 Barcelona,2011M04,2006
09 Cataluña,08 Barcelona,2011M03,2548
09 Cataluña,08 Barcelona,2011M02,4571
09 Cataluña,08 Barcelona,2011M01,4082
09 Cataluña,08 Barcelona,2023M02,864
09 Cataluña,08 Barcelona,2023M01,954
09 Cataluña,08 Barcelona,2022M12,678
09 Cataluña,08 Barcelona,2022M11,867
09 Cataluña,08 Barcelona,2022M10,826
09 Cataluña,08 Barcelona,2022M09,913
09 Cataluña,08 Barcelona,2022M08,902
09 Cataluña,08 Barcelona,2022M07,1001
09 Cataluña,08 Barcelona,2022M06,913
09 Cataluña,08 Barcelona,2022M05,1107
09 Cataluña,08 Barcelona,2022M04,967
09 Cataluña,08 Barcelona,2022M03,1070
09 Cataluña,08 Barcelona,2022M02,947
09 Cataluña,08 Barcelona,2022M01,1018
09 Cataluña,08 Barcelona,2021M12,878
09 Cataluña,08 Barcelona,2021M11,885
09 Cataluña,08 Barcelona,2021M10,803
09 Cataluña,08 Barcelona,2021M09,999
09 Cataluña,08 Barcelona,2021M08,736
09 Cataluña,08 Barcelona,2021M07,799
09 Cataluña,08 Barcelona,2021M06,735
09 Cataluña,08 Barcelona,2021M05,914
09 Cataluña,08 Barcelona,2021M04,795
09 Cataluña,08 Barcelona,2021M03,1039
09 Cataluña,08 Barcelona,2021M02,832
09 Cataluña,08 Barcelona,2021M01,688
09 Cataluña,08 Barcelona,2020M12,682
09 Cataluña,08 Barcelona,2020M11,724
09 Cataluña,08 Barcelona,2020M10,606
09 Cataluña,08 Barcelona,2020M09,730
09 Cataluña,08 Barcelona,2020M08,549
09 Cataluña,08 Barcelona,2020M07,661
09 Cataluña,08 Barcelona,2020M06,625
09 Cataluña,08 Barcelona,2020M05,486
09 Cataluña,08 Barcelona,2020M04,562
09 Cataluña,08 Barcelona,2020M03,766
09 Cataluña,08 Barcelona,2020M02,893
09 Cataluña,08 Barcelona,2020M01,826
09 Cataluña,08 Barcelona,2019M12,559
09 Cataluña,08 Barcelona,2019M11,634
09 Cataluña,08 Barcelona,2019M10,677
09 Cataluña,08 Barcelona,2019M09,570
09 Cataluña,08 Barcelona,2019M08,576
09 Cataluña,08 Barcelona,2019M07,678
09 Cataluña,08 Barcelona,2019M06,621
09 Cataluña,08 Barcelona,2019M05,804
09 Cataluña,08 Barcelona,2019M04,683
09 Cataluña,08 Barcelona,2019M03,746
09 Cataluña,08 Barcelona,2019M02,866
09 Cataluña,08 Barcelona,2019M01,1013
09 Cataluña,08 Barcelona,2018M12,600
09 Cataluña,08 Barcelona,2018M11,662
09 Cataluña,08 Barcelona,2018M10,736
09 Cataluña,08 Barcelona,2018M09,648
09 Cataluña,08 Barcelona,2018M08,605
09 Cataluña,08 Barcelona,2018M07,662
09 Cataluña,08 Barcelona,2018M06,628
09 Cataluña,08 Barcelona,2018M05,611
09 Cataluña,08 Barcelona,2018M04,629
09 Cataluña,08 Barcelona,2018M03,747
09 Cataluña,08 Barcelona,2018M02,736
09 Cataluña,08 Barcelona,2018M01,827
09 Cataluña,08 Barcelona,2017M12,526
09 Cataluña,08 Barcelona,2017M11,689
09 Cataluña,08 Barcelona,2017M10,536
09 Cataluña,08 Barcelona,2017M09,542
09 Cataluña,08 Barcelona,2017M08,622
09 Cataluña,08 Barcelona,2017M07,620
09 Cataluña,08 Barcelona,2017M06,580
09 Cataluña,08 Barcelona,2017M05,727
09 Cataluña,08 Barcelona,2017M04,399
09 Cataluña,08 Barcelona,2017M03,562
09 Cataluña,08 Barcelona,2017M02,480
09 Cataluña,08 Barcelona,2017M01,570
09 Cataluña,08 Barcelona,2016M12,372
09 Cataluña,08 Barcelona,2016M11,397
09 Cataluña,08 Barcelona,2016M10,375
09 Cataluña,08 Barcelona,2016M09,477
09 Cataluña,08 Barcelona,2016M08,522
09 Cataluña,08 Barcelona,2016M07,479
09 Cataluña,08 Barcelona,2016M06,509
09 Cataluña,08 Barcelona,2016M05,519
09 Cataluña,08 Barcelona,2016M04,509
09 Cataluña,08 Barcelona,2016M03,449
09 Cataluña,08 Barcelona,2016M02,532
09 Cataluña,08 Barcelona,2016M01,507
09 Cataluña,08 Barcelona,2015M12,395
09 Cataluña,08 Barcelona,2015M11,413
09 Cataluña,08 Barcelona,2015M10,380
09 Cataluña,08 Barcelona,2015M09,411
09 Cataluña,08 Barcelona,2015M08,394
09 Cataluña,08 Barcelona,2015M07,413
09 Cataluña,08 Barcelona,2015M06,407
09 Cataluña,08 Barcelona,2015M05,366
09 Cataluña,08 Barcelona,2015M04,435
09 Cataluña,08 Barcelona,2015M03,637
09 Cataluña,08 Barcelona,2015M02,544
09 Cataluña,08 Barcelona,2015M01,636
09 Cataluña,08 Barcelona,2014M12,383
09 Cataluña,08 Barcelona,2014M11,479
09 Cataluña,08 Barcelona,2014M10,461
09 Cataluña,08 Barcelona,2014M09,457
09 Cataluña,08 Barcelona,2014M08,391
09 Cataluña,08 Barcelona,2014M07,554
09 Cataluña,08 Barcelona,2014M06,529
09 Cataluña,08 Barcelona,2014M05,607
09 Cataluña,08 Barcelona,2014M04,687
09 Cataluña,08 Barcelona,2014M03,760
09 Cataluña,08 Barcelona,2014M02,669
09 Cataluña,08 Barcelona,2014M01,801
09 Cataluña,08 Barcelona,2013M12,562
09 Cataluña,08 Barcelona,2013M11,657
09 Cataluña,08 Barcelona,2013M10,554
09 Cataluña,08 Barcelona,2013M09,647
09 Cataluña,08 Barcelona,2013M08,589
