DATA INCENDI,CODI COMARCA,COMARCA,CODI MUNICIPI,TERMEMUNIC,HAARBRADES,HANOARBRAD,HANOFOREST,HAFORESTAL
01/01/2022,24,Osona,80673,Centelles,0,0.25,0,0.25
01/01/2022,23,Noguera,250371,"Avellanes i Santa Linya, les",0,0.01,0,0.01
04/01/2022,22,Montsià,430445,"Sénia, la",0,0.01,0,0.01
05/01/2022,28,Pla de l'Estany,171740,Sant Miquel de Campmajor,0.15,0,0,0.15
05/01/2022,2,Alt Empordà,171061,Mollet de Peralada,0.3,0,0,0.3
07/01/2022,36,Tarragonès,431482,Tarragona,0.01,0.01,0,0.02
08/01/2022,3,Alt Penedès,80850,Font-rubí,0.34,0,0,0.34
08/01/2022,35,Solsonès,251636,"Coma i la Pedra, la",0,0.01,0,0.01
09/01/2022,11,Baix Llobregat,81691,"Prat de Llobregat, el",0,0.04,0,0.04
09/01/2022,11,Baix Llobregat,80728,Corbera de Llobregat,0.03,0,0,0.03
11/01/2022,24,Osona,81173,"Masies de Voltregà, les",0.53,0,0,0.53
12/01/2022,33,Segrià,250387,Aitona,0,0.2,0,0.2
12/01/2022,21,Maresme,82819,Teià,0,0,0,0
13/01/2022,16,Conca de Barberà,431423,Sarral,0,0,0,0
13/01/2022,3,Alt Penedès,82515,Santa Margarida i els Monjos,0,0.02,0,0.02
13/01/2022,35,Solsonès,251636,"Coma i la Pedra, la",0.66,0,0,0.66
14/01/2022,16,Conca de Barberà,430862,Montblanc,0,0.07,0,0.07
15/01/2022,7,Bages,81786,Rajadell,0.03,0,0,0.03
15/01/2022,33,Segrià,250117,Alcarràs,0,0,0,0
15/01/2022,25,Pallars Jussà,251615,Conca de Dalt,0.25,0,1,0.25
16/01/2022,20,Gironès,170448,Cassà de la Selva,0.03,0,0,0.03
16/01/2022,31,Ripollès,170963,"Llosses, les",0.05,0,0,0.05
16/01/2022,3,Alt Penedès,82362,Sant Quintí de Mediona,0,0.15,0,0.15
18/01/2022,4,Alt Urgell,250306,"Pont de Bar, el",0,1.8,1.3,1.8
18/01/2022,26,Pallars Sobirà,250827,Espot,0,9.1,0,9.1
20/01/2022,4,Alt Urgell,251850,Ribera d'Urgellet,0.27,0,0,0.27
21/01/2022,12,Baix Penedès,430799,Masllorenç,0,0,0,0
22/01/2022,7,Bages,82628,Sant Vicenç de Castellet,0.02,0,0,0.02
22/01/2022,25,Pallars Jussà,251155,Isona i Conca Dellà,0,0.09,0,0.09
23/01/2022,14,Berguedà,83089,Viver i Serrateix,0,0.09,0,0.09
23/01/2022,19,Garrotxa,172076,"Vall d'en Bas, la",0,0,0,0
23/01/2022,16,Conca de Barberà,431418,Pontils,0.12,0,0,0.12
24/01/2022,16,Conca de Barberà,431418,Pontils,0.3,0,0,0.3
24/01/2022,16,Conca de Barberà,431074,Pira,0,0.75,0,0.75
