Àmbit territorial,Codi territorial,Nom territori,Any,Període,Habitatges,Renda,Tram de preus
Municipi,08001,Abrera,2022,gener - desembre,231,684.84,> 600 euros/mes
Municipi,25002,Àger,2022,gener - desembre,6,425.83,> 350 i <= 450 euros/mes
Municipi,25003,Agramunt,2022,gener - desembre,96,367.25,> 350 i <= 450 euros/mes
Municipi,08002,Aguilar de Segarra,2022,gener - desembre,2,,> 450 i <= 600 euros/mes
Municipi,17001,Agullana,2022,gener - desembre,26,497.12,> 450 i <= 600 euros/mes
Municipi,08014,Aiguafreda,2022,gener - desembre,70,611.54,> 600 euros/mes
Municipi,43001,Aiguamúrcia,2022,gener - desembre,12,505.83,> 450 i <= 600 euros/mes
Municipi,17002,Aiguaviva,2022,gener - desembre,1,,> 600 euros/mes
Municipi,25038,Aitona,2022,gener - desembre,30,338.50,<= 350 euros/mes
Municipi,25004,"Alamús, els",2022,gener - desembre,10,455.00,> 450 i <= 600 euros/mes
Municipi,25006,"Albagés, l'",2022,gener - desembre,1,,<= 350 euros/mes
Municipi,17003,Albanyà,2022,gener - desembre,2,,> 600 euros/mes
Municipi,25007,Albatàrrec,2022,gener - desembre,16,389.38,> 350 i <= 450 euros/mes
Municipi,25008,Albesa,2022,gener - desembre,16,382.19,> 350 i <= 450 euros/mes
Municipi,25009,"Albi, l'",2022,gener - desembre,3,,> 450 i <= 600 euros/mes
Municipi,43002,Albinyana,2022,gener - desembre,15,583.33,> 450 i <= 600 euros/mes
Municipi,43003,"Albiol, l'",2022,gener - desembre,1,,> 600 euros/mes
Municipi,17004,Albons,2022,gener - desembre,9,830.56,> 600 euros/mes
Municipi,43004,Alcanar,2022,gener - desembre,129,402.84,> 350 i <= 450 euros/mes
Municipi,25010,Alcanó,2022,gener - desembre,1,,<= 350 euros/mes
Municipi,25011,Alcarràs,2022,gener - desembre,172,409.49,> 350 i <= 450 euros/mes
Municipi,25012,Alcoletge,2022,gener - desembre,40,480.12,> 450 i <= 600 euros/mes
Municipi,43005,Alcover,2022,gener - desembre,27,486.90,> 450 i <= 600 euros/mes
Municipi,43904,"Aldea, l'",2022,gener - desembre,69,397.69,> 350 i <= 450 euros/mes
Municipi,43006,Aldover,2022,gener - desembre,5,,> 450 i <= 600 euros/mes
Municipi,43007,"Aleixar, l'",2022,gener - desembre,9,472.22,> 450 i <= 600 euros/mes
Municipi,08003,Alella,2022,gener - desembre,170,1196.25,> 600 euros/mes
Municipi,43008,Alfara de Carles,2022,gener - desembre,1,,<= 350 euros/mes
Municipi,25013,Alfarràs,2022,gener - desembre,18,357.22,> 350 i <= 450 euros/mes
Municipi,43009,Alforja,2022,gener - desembre,18,472.50,> 450 i <= 600 euros/mes
Municipi,25015,Algerri,2022,gener - desembre,2,,<= 350 euros/mes
Municipi,25016,Alguaire,2022,gener - desembre,25,368.36,> 350 i <= 450 euros/mes
Municipi,25017,Alins,2022,gener - desembre,1,,> 350 i <= 450 euros/mes
Municipi,43010,Alió,2022,gener - desembre,5,,> 350 i <= 450 euros/mes
Municipi,25019,Almacelles,2022,gener - desembre,88,397.73,> 350 i <= 450 euros/mes
Municipi,25020,Almatret,2022,gener - desembre,1,,<= 350 euros/mes
Municipi,25021,Almenar,2022,gener - desembre,13,379.62,> 350 i <= 450 euros/mes
Municipi,43011,Almoster,2022,gener - desembre,2,,> 450 i <= 600 euros/mes
Municipi,25022,Alòs de Balaguer,2022,gener - desembre,1,,> 350 i <= 450 euros/mes
Municipi,17006,Alp,2022,gener - desembre,44,558.05,> 450 i <= 600 euros/mes
Municipi,08004,Alpens,2022,gener - desembre,4,,> 450 i <= 600 euros/mes
Municipi,25023,Alpicat,2022,gener - desembre,26,530.95,> 450 i <= 600 euros/mes
Municipi,25024,Alt Àneu,2022,gener - desembre,1,,> 450 i <= 600 euros/mes
Municipi,43012,Altafulla,2022,gener - desembre,112,753.85,> 600 euros/mes
Municipi,17007,Amer,2022,gener - desembre,28,473.93,> 450 i <= 600 euros/mes
Municipi,43013,"Ametlla de Mar, l'",2022,gener - desembre,78,487.80,> 450 i <= 600 euros/mes
Municipi,08005,"Ametlla del Vallès, l'",2022,gener - desembre,64,1014.80,> 600 euros/mes
Municipi,43906,"Ampolla, l'",2022,gener - desembre,90,484.33,> 450 i <= 600 euros/mes
Municipi,43014,Amposta,2022,gener - desembre,255,374.06,> 350 i <= 450 euros/mes
Municipi,17008,Anglès,2022,gener - desembre,118,492.34,> 450 i <= 600 euros/mes
Municipi,25027,Anglesola,2022,gener - desembre,15,427.00,> 350 i <= 450 euros/mes
Municipi,25029,Arbeca,2022,gener - desembre,14,342.92,<= 350 euros/mes
Municipi,43016,"Arboç, l'",2022,gener - desembre,96,473.89,> 450 i <= 600 euros/mes
Municipi,43015,Arbolí,2022,gener - desembre,2,,> 450 i <= 600 euros/mes
Municipi,17009,Arbúcies,2022,gener - desembre,155,462.29,> 450 i <= 600 euros/mes
Municipi,08006,Arenys de Mar,2022,gener - desembre,370,707.75,> 600 euros/mes
Municipi,08007,Arenys de Munt,2022,gener - desembre,147,663.11,> 600 euros/mes
Municipi,17010,Argelaguer,2022,gener - desembre,2,,> 350 i <= 450 euros/mes
Municipi,43017,"Argentera, l'",2022,gener - desembre,1,,> 450 i <= 600 euros/mes
Municipi,08009,Argentona,2022,gener - desembre,172,812.00,> 600 euros/mes
Municipi,17011,"Armentera, l'",2022,gener - desembre,10,770.00,> 600 euros/mes
Municipi,43018,Arnes,2022,gener - desembre,1,,<= 350 euros/mes
Municipi,25032,Arsèguel,2022,gener - desembre,1,,<= 350 euros/mes
