,Àmbit territorial,Codi territorial,Nom territori,Any,Període,Habitatges,Renda
0,Municipi,8001,Abrera,2022,gener - desembre,231,684.84
1,Municipi,25002,Àger,2022,gener - desembre,6,425.83
2,Municipi,25003,Agramunt,2022,gener - desembre,96,367.25
4,Municipi,17001,Agullana,2022,gener - desembre,26,497.12
5,Municipi,8014,Aiguafreda,2022,gener - desembre,70,611.54
6,Municipi,43001,Aiguamúrcia,2022,gener - desembre,12,505.83
8,Municipi,25038,Aitona,2022,gener - desembre,30,338.5
9,Municipi,25004,"Alamús, els",2022,gener - desembre,10,455.0
12,Municipi,25007,Albatàrrec,2022,gener - desembre,16,389.38
13,Municipi,25008,Albesa,2022,gener - desembre,16,382.19
15,Municipi,43002,Albinyana,2022,gener - desembre,15,583.33
17,Municipi,17004,Albons,2022,gener - desembre,9,830.56
18,Municipi,43004,Alcanar,2022,gener - desembre,129,402.84
20,Municipi,25011,Alcarràs,2022,gener - desembre,172,409.49
21,Municipi,25012,Alcoletge,2022,gener - desembre,40,480.12
22,Municipi,43005,Alcover,2022,gener - desembre,27,486.9
23,Municipi,43904,"Aldea, l'",2022,gener - desembre,69,397.69
25,Municipi,43007,"Aleixar, l'",2022,gener - desembre,9,472.22
26,Municipi,8003,Alella,2022,gener - desembre,170,1196.25
28,Municipi,25013,Alfarràs,2022,gener - desembre,18,357.22
29,Municipi,43009,Alforja,2022,gener - desembre,18,472.5
31,Municipi,25016,Alguaire,2022,gener - desembre,25,368.36
34,Municipi,25019,Almacelles,2022,gener - desembre,88,397.73
36,Municipi,25021,Almenar,2022,gener - desembre,13,379.62
39,Municipi,17006,Alp,2022,gener - desembre,44,558.05
41,Municipi,25023,Alpicat,2022,gener - desembre,26,530.95
43,Municipi,43012,Altafulla,2022,gener - desembre,112,753.85
44,Municipi,17007,Amer,2022,gener - desembre,28,473.93
45,Municipi,43013,"Ametlla de Mar, l'",2022,gener - desembre,78,487.8
46,Municipi,8005,"Ametlla del Vallès, l'",2022,gener - desembre,64,1014.8
47,Municipi,43906,"Ampolla, l'",2022,gener - desembre,90,484.33
48,Municipi,43014,Amposta,2022,gener - desembre,255,374.06
49,Municipi,17008,Anglès,2022,gener - desembre,118,492.34
50,Municipi,25027,Anglesola,2022,gener - desembre,15,427.0
51,Municipi,25029,Arbeca,2022,gener - desembre,14,342.92
52,Municipi,43016,"Arboç, l'",2022,gener - desembre,96,473.89
54,Municipi,17009,Arbúcies,2022,gener - desembre,155,462.29
55,Municipi,8006,Arenys de Mar,2022,gener - desembre,370,707.75
56,Municipi,8007,Arenys de Munt,2022,gener - desembre,147,663.11
59,Municipi,8009,Argentona,2022,gener - desembre,172,812.0
60,Municipi,17011,"Armentera, l'",2022,gener - desembre,10,770.0
63,Municipi,8010,Artés,2022,gener - desembre,135,433.74
65,Municipi,25034,Artesa de Segre,2022,gener - desembre,46,408.04
69,Municipi,8011,Avià,2022,gener - desembre,31,479.03
70,Municipi,8012,Avinyó,2022,gener - desembre,28,432.2
71,Municipi,17012,Avinyonet de Puigventós,2022,gener - desembre,9,774.44
72,Municipi,8013,Avinyonet del Penedès,2022,gener - desembre,12,584.44
73,Municipi,8015,Badalona,2022,gener - desembre,3702,808.02
74,Municipi,8904,Badia del Vallès,2022,gener - desembre,57,282.63
75,Municipi,8016,Bagà,2022,gener - desembre,29,427.76
76,Municipi,25039,Baix Pallars,2022,gener - desembre,6,397.5
77,Municipi,25040,Balaguer,2022,gener - desembre,332,379.76
78,Municipi,8017,Balenyà,2022,gener - desembre,59,556.04
79,Municipi,8018,Balsareny,2022,gener - desembre,38,429.65
80,Municipi,43020,Banyeres del Penedès,2022,gener - desembre,34,600.78
81,Municipi,17015,Banyoles,2022,gener - desembre,447,588.83
82,Municipi,25041,Barbens,2022,gener - desembre,11,432.36
83,Municipi,43021,Barberà de la Conca,2022,gener - desembre,8,356.88
84,Municipi,8252,Barberà del Vallès,2022,gener - desembre,399,704.62
85,Municipi,8019,Barcelona,2022,gener - desembre,47927,1026.86
86,Municipi,17016,Bàscara,2022,gener - desembre,20,607.09
87,Municipi,43022,Batea,2022,gener - desembre,12,300.0
88,Municipi,8020,Begues,2022,gener - desembre,117,996.44
89,Municipi,17013,Begur,2022,gener - desembre,24,840.54
92,Municipi,17018,Bellcaire d'Empordà,2022,gener - desembre,9,572.22
93,Municipi,25047,Bellcaire d'Urgell,2022,gener - desembre,10,354.5
94,Municipi,25048,Bell-lloc d'Urgell,2022,gener - desembre,19,412.11
97,Municipi,25050,Bellpuig,2022,gener - desembre,69,380.0
98,Municipi,43024,Bellvei,2022,gener - desembre,33,535.08
99,Municipi,25051,Bellver de Cerdanya,2022,gener - desembre,52,582.67
100,Municipi,25052,Bellvís,2022,gener - desembre,16,396.56
104,Municipi,8022,Berga,2022,gener - desembre,416,418.11
105,Municipi,17019,Besalú,2022,gener - desembre,51,522.55
106,Municipi,17020,Bescanó,2022,gener - desembre,31,668.06
108,Municipi,8023,Bigues i Riells del Fai,2022,gener - desembre,68,798.7
111,Municipi,43028,"Bisbal del Penedès, la",2022,gener - desembre,29,589.34
112,Municipi,17022,"Bisbal d'Empordà, la",2022,gener - desembre,218,508.14
113,Municipi,43029,Blancafort,2022,gener - desembre,7,342.86
114,Municipi,17023,Blanes,2022,gener - desembre,857,554.21
